ITEM_NAME, FACT, ID_CUST
''Aceit Veg PABO 48O'',''50-20191025-5-254'',''425047''
''Aceit Veg PABO 48O'',''50-20191209-2-324'',''425047''
''JABN EN BARRA 140G'',''20-20200316-7-120'',''740827''
''NEVADA LECHE CHOCO'',''123-20200309-7-110'',''528218''
''NEVADA LECHE CHOCO'',''123-20200127-10-197'',''528218''
''NEVADA LECHE CHOCO'',''123-20200326-10-163'',''528218''
''NEVADA LECHE CHOCO'',''123-20191021-4-403'',''528218''
''NEVADA LECHE CHOCO'',''123-20200108-3-153'',''528218''
''NEVADA LECHE CHOCO'',''123-20191106-3-88'',''528218''
''NEVADA LECHE CHOCO'',''123-20191002-14-186'',''528218''
''CUETARA MARIA'',''20-20191001-3-269'',''740827''
''SAL FUEG MED 90'',''108-20200319-20-65'',''985035''
''CASHITAS MANI CON'',''106-20200320-5-149'',''1502878''
''EMPANIZADOR SASSO'',''78-20200120-11-197'',''702764''
''EMPANIZADOR SASSO'',''78-20191117-16-61'',''702764''
''EMPANIZADOR SASSO'',''78-20191105-9-24'',''702764''
''CLASICA ESMALTE'',''50-20191210-3-486'',''425047''
''CORONA DURA LAT'',''193-20191127-20-36'',''429188''
''CREMOSITAS CHOC'',''108-20200305-17-89'',''985035''
''MALLOW CHOCO 14OZ'',''104-20191120-14-7'',''519849''
''MALLOW CHOCO 14OZ'',''193-20191002-7-183'',''429188''
''MALLOW CHOCO 14OZ'',''104-20191107-6-328'',''519849''
''MALLOW CHOCO 14OZ'',''104-20191005-7-317'',''519849''
''PH ENCANTO 6000 HS'',''20-20191228-4-83'',''740827''
''ALOE VERA SUGAR'',''108-20200325-9-47'',''985035''
''TERAMED NOR CET'',''169-20191013-12-65'',''519849''
''PAPEL MANILA GRUES'',''44-20191221-5-433'',''414949''
''RINGCAKE D/GUINE'',''123-20200227-10-284'',''466902''
''RINGCAKE D/GUINE'',''108-20191220-16-277'',''985035''
''SANCOCHO POLLO'',''90-20200218-29-305'',''413808''
''OREJA'',''78-20200201-11-74'',''702764''
''COMIDA DE EMPLE'',''169-20191223-13-169'',''519849''
''CARNE MOLIDA DE PR'',''108-20200314-18-221'',''547897''
''PALOMILLA'',''108-20200301-16-229'',''547897''
''PALOMILLA'',''108-20200128-6-121'',''547897''
''PALOMILLA'',''104-20191129-14-71'',''519849''
''HIGADO DE POLLO'',''20-20191101-3-210'',''740827''
''ARROZ ESPEC EXT 5L'',''78-20200308-6-30'',''702764''
''ARROZ ESPEC EXT 5L'',''78-20200304-7-265'',''702764''
''ARROZ ESPEC EXT 5L'',''78-20200130-6-40'',''702764''
''ARROZ ESPEC EXT 5L'',''104-20200215-5-450'',''519849''
''ARROZ ESPEC EXT 5L'',''78-20200315-11-16'',''702764''
''ARROZ ESPEC EXT 5L'',''78-20200120-11-197'',''702764''
''ARROZ ESPEC EXT 5L'',''78-20200201-11-74'',''702764''
''ARROZ ESPEC EXT 5L'',''78-20200119-9-5'',''702764''
''ARROZ ESPEC EXT 5L'',''104-20191005-7-317'',''519849''
''ARROZ ESPEC EXT 5L'',''78-20191221-9-155'',''702764''
''ARROZ ESPEC EXT 5L'',''78-20191029-7-14'',''702764''
''ARROZ ESPEC EXT 5L'',''78-20191101-14-7'',''702764''
''ARROZ ESPEC EXT 5L'',''78-20191013-12-28'',''702764''
''POROTOS ROJO MONTE'',''50-20191010-1-143'',''425047''
''ARROZ DE 1RA COSEC'',''108-20191016-12-46'',''547897''
''ARROZ ESP EXT 25/2'',''78-20191111-7-205'',''702764''
''ARROZ ESP EXT 25/2'',''78-20191101-14-7'',''702764''
''ARROZ BLANCO'',''50-20191026-46-227'',''419987''
''VASOS 20SET/8OZ'',''78-20200321-7-13'',''702764''
''POLLO ASADO ENT'',''108-20200131-4-328'',''985035''
''Mini/Oreja 12 uni'',''78-20191101-14-7'',''702764''
''Mini/Oreja 12 uni'',''78-20191007-7-42'',''702764''
''tamarindo cosecha'',''50-20191204-6-246'',''422110''
''SORPRESA T12 NINO'',''123-20200314-10-369'',''1226904''
''SODA KIST NARANJA'',''123-20191203-12-70'',''528218''
''KIST FRESA 2.5 LT'',''123-20191019-7-267'',''528218''
''BAYER CANESTEN'',''123-20200229-38-333'',''528218''
''BEBIDA DE MELOCOT'',''123-20200216-10-151'',''1226904''
''SALSA PICANTE ARO'',''123-20200111-8-31'',''528218''
''BETTY CROKER SUNKI'',''106-20200301-14-79'',''1502878''
''LEVADURA INSTANTAN'',''123-20200206-12-117'',''528218''
''LEVADURA INSTANTAN'',''20-20191104-3-139'',''740827''
''MARGARINA REGUL1LB'',''123-20200226-3-83'',''1226904''
''MARGARINA REGUL1LB'',''78-20200119-9-5'',''702764''
''MARGARINA REGUL1LB'',''50-20200110-2-111'',''425047''
''CREMA LAVAPLATOS S'',''78-20200321-7-13'',''702764''
''SIP CREMA PERLAS'',''108-20191202-18-404'',''547897''
''SIP CREMA PERLAS'',''50-20200109-1-353'',''422110''
''RENUZIT ADJUSTA'',''123-20191018-7-128'',''528218''
''Chicle WRIGLEYS Ex'',''123-20200216-3-290'',''528218''
''PET/JUGAZ/SIX PAC'',''108-20200220-15-137'',''985035''
''PET/JUGAZ/SIX PAC'',''108-20191028-11-61'',''985035''
''PET/JUGAZ/SIX PAC'',''50-20191120-2-98'',''425047''
''REFIL PRIMAV 800ML'',''20-20191016-3-266'',''740827''
''WESSON CANOLA 48OZ'',''123-20200310-7-44'',''466902''
''LA SIRENA SRDN15OZ'',''123-20200102-7-323'',''466902''
''RECOGEDORES'',''108-20200322-11-79'',''547897''
''CO.BARN CAKE DEVI'',''108-20200331-6-125'',''547897''
''CO.BARN CAKE DEVI'',''108-20200216-9-46'',''547897''
''CO.BARN CAKE DEVI'',''108-20191202-18-404'',''547897''
''GATORADE UVA 24/60'',''78-20191101-14-7'',''702764''
''GATORADE UVA 24/60'',''78-20191211-8-96'',''702764''
''GATORADE UVA 24/60'',''78-20191215-11-99'',''702764''
''GATORADE UVA 24/60'',''78-20191007-7-42'',''702764''
''GATORADE UVA 24/60'',''50-20191226-2-215'',''422110''
